255 180 0
260 180 0
265 180 0
270 180 0
275 180 0
280 180 0
285 180 0
290 180 0
295 180 0
300 180 0
305 180 0
310 180 0
315 180 0
320 180 0
325 180 0
330 180 0
335 180 0
340 180 0
345 180 0
350 180 0
355 180 0
360 180 0
365 180 0
370 180 0
375 180 0
380 180 0
385 180 0
390 180 0
395 180 0
400 180 0
405 180 0
410 180 0
415 180 0
420 180 0
425 180 0
430 180 0
435 180 0
440 180 0
445 180 0
450 180 0
455 180 0
460 180 0
465 180 0
470 180 0
475 180 0
480 180 0
485 180 0
490 180 0
495 180 0
500 180 1
